Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,0.00042824074074074075,0.0,0.0012847222222222223,0.0
2,00:00:00.080,3.472222222222222e-05,0.0,0.00010416666666666667,0.0
3,00:00:00.120,4.6296296296296294e-05,0.0,0.0001388888888888889,0.0
4,00:00:00.160,5.208333333333334e-05,0.0,0.00015625,0.0
5,00:00:00.200,1.736111111111111e-05,0.0,5.208333333333334e-05,0.0
6,00:00:00.240,1.1574074074074073e-05,0.0,3.472222222222222e-05,0.0
7,00:00:00.280,2.3148148148148147e-05,0.0,6.944444444444444e-05,0.0
8,00:00:00.320,1.1574074074074073e-05,0.0,3.472222222222222e-05,0.0
9,00:00:00.360,5.787037037037037e-06,0.0,1.736111111111111e-05,0.0
10,00:00:00.400,5.787037037037037e-06,0.0,1.736111111111111e-05,0.0
11,00:00:00.440,0.0,0.0,0.0,0.0
12,00:00:00.480,0.0,0.0,0.0,0.0
13,00:00:00.520,0.0,0.0,0.0,0.0
14,00:00:00.560,0.0,0.0,0.0,0.0
15,00:00:00.600,0.0,0.0,0.0,0.0
16,00:00:00.640,5.787037037037037e-06,0.0,1.736111111111111e-05,0.0
17,00:00:00.680,0.0,0.0,0.0,0.0
18,00:00:00.720,0.0,0.0,0.0,0.0
19,00:00:00.760,0.0,0.0,0.0,0.0
20,00:00:00.800,0.0,0.0,0.0,0.0
21,00:00:00.840,0.0,0.0,0.0,0.0
22,00:00:00.880,0.0,0.0,0.0,0.0
23,00:00:00.920,0.0,0.0,0.0,0.0
24,00:00:00.960,1.2548206018518517,0.0,3.7644618055555554,0.0
25,00:00:01.000,0.0017881944444444445,0.0,0.005364583333333333,0.0
26,00:00:01.040,0.0002488425925925926,0.0,0.0007465277777777778,0.0
27,00:00:01.080,0.0002199074074074074,0.0,0.0006597222222222222,0.0
28,00:00:01.120,0.00016782407407407406,0.0,0.0005034722222222222,0.0
29,00:00:01.160,2.3148148148148147e-05,0.0,6.944444444444444e-05,0.0
30,00:00:01.200,5.208333333333334e-05,0.0,0.00015625,0.0
31,00:00:01.240,2.3148148148148147e-05,0.0,6.944444444444444e-05,0.0
32,00:00:01.280,5.787037037037037e-06,0.0,1.736111111111111e-05,0.0
33,00:00:01.320,1.736111111111111e-05,0.0,5.208333333333334e-05,0.0
34,00:00:01.360,0.0,0.0,0.0,0.0
35,00:00:01.400,0.0,0.0,0.0,0.0
36,00:00:01.440,1.1574074074074073e-05,0.0,3.472222222222222e-05,0.0
37,00:00:01.480,0.0,0.0,0.0,0.0
38,00:00:01.520,1.736111111111111e-05,0.0,5.208333333333334e-05,0.0
39,00:00:01.560,1.1574074074074073e-05,0.0,3.472222222222222e-05,0.0
40,00:00:01.600,0.0,0.0,0.0,0.0
41,00:00:01.640,46.43762731481481,44.82315972222222,54.83015625,39.659565972222225
42,00:00:01.680,0.12794560185185186,0.09907986111111111,0.03868055555555556,0.2460763888888889
43,00:00:01.720,1.6225752314814816,0.4909548611111111,1.91703125,2.4597395833333335
44,00:00:01.760,2.6508969907407405,0.7998611111111111,3.1871354166666666,3.9656944444444444
45,00:00:01.800,2.483587962962963,0.7869791666666667,2.9084375,3.7553472222222224
46,00:00:01.840,2.429704861111111,0.8146180555555556,2.713020833333333,3.7614756944444445
47,00:00:01.880,2.3614872685185184,0.7635590277777777,2.710590277777778,3.6103125
48,00:00:01.920,2.25578125,0.7163541666666666,2.5895486111111112,3.4614409722222224
49,00:00:01.960,1.2392881944444445,0.36171875,1.4692534722222221,1.886892361111111
